DMA (as appears in various data files),"""Master"" DMA",Test
Lake Charles,Lake Charles,
LAKE CHARLES,Lake Charles,
Lake Charles LA,Lake Charles,
Lansing,Lansing,
LANSING,Lansing,
Lansing MI,Lansing,
Laredo,Laredo,
LAREDO,Laredo,
Laredo TX,Laredo,
Las Vegas,Las Vegas,
LAS VEGAS,Las Vegas,
Las Vegas NV,Las Vegas,
Lexington,Lexington,
LEXINGTON,Lexington,
Lexington KY,Lexington,
Lima,Lima,
LIMA,Lima,
Lima OH,Lima,
Lincoln & Hastings-Krny,Lincoln & Hastings-Krny,
LINCOLN & HASTINGS-KRNY,Lincoln & Hastings-Krny,
Lincoln And Hastings-Kearney NE,Lincoln & Hastings-Krny,
Lincoln/Hastings/Kearney,Lincoln & Hastings-Krny,
Little Rock/Pine Bluff,Little Rock-Pine Bluff,
Little Rock-Pine Bluff,Little Rock-Pine Bluff,
LITTLE ROCK-PINE BLUFF,Little Rock-Pine Bluff,
Little Rock-Pine Bluff AR,Little Rock-Pine Bluff,
LOS ANGELES,Los Angeles CA,
Los Angeles CA,Los Angeles CA,
Los Angeles CA,Los Angeles CA,
Louisville,Louisville,
LOUISVILLE,Louisville,
Louisville KY,Louisville,
Lubbock,Lubbock,
LUBBOCK,Lubbock,
Lubbock TX,Lubbock,
Macon,Macon,
MACON,Macon,
Macon GA,Macon,
Madison,Madison,
MADISON,Madison,
Madison WI,Madison,
Mankato,Mankato,
MANKATO,Mankato,
Mankato MN,Mankato,
Marquette,Marquette,
MARQUETTE,Marquette,
Marquette MI,Marquette,
Medford/Klamath Falls,Medford-Klamath Falls,
Medford-Klamath Falls,Medford-Klamath Falls,
MEDFORD-KLAMATH FALLS,Medford-Klamath Falls,
Medford-Klamath Falls OR,Medford-Klamath Falls,
MEMPHIS,Memphis TN,
Memphis TN,Memphis TN,
Memphis TN,Memphis TN,
Meridian,Meridian,
MERIDIAN,Meridian,
Meridian MS,Meridian,
Miami/Fort Lauderdale,Miami-Ft. Lauderdale,
Miami-Ft. Lauderdale,Miami-Ft. Lauderdale,
MIAMI-FT. LAUDERDALE,Miami-Ft. Lauderdale,
Miami-Ft. Lauderdale FL,Miami-Ft. Lauderdale,
Milwaukee,Milwaukee,
MILWAUKEE,Milwaukee,
Milwaukee WI,Milwaukee,
Minneapolis/Saint Paul,Minneapolis-St. Paul,
Minneapolis-St. Paul,Minneapolis-St. Paul,
MINNEAPOLIS-ST. PAUL,Minneapolis-St. Paul,
Minneapolis-St. Paul MN,Minneapolis-St. Paul,
Minot/Bismarck/Dickinson,Minot-Bsmrck-Dcknsn(Wlstn),
Minot-Bismarck-Dickinson ND,Minot-Bsmrck-Dcknsn(Wlstn),
Minot-Bsmrck-Dcknsn(Wlstn),Minot-Bsmrck-Dcknsn(Wlstn),
MINOT-BSMRCK-DCKNSN(WLSTN),Minot-Bsmrck-Dcknsn(Wlstn),
Missoula,Missoula,
MISSOULA,Missoula,
Missoula MT,Missoula,
Mobile AL,Mobile AL,
Mobile AL-Pensacola FL,Mobile AL,
Mobile/Pensacola/Fort Walton Beach,Mobile AL,
MOBILE-PENSACOLA (FT WALT),Mobile AL,
Monroe LA-El Dorado AR,Monroe-El Dorado,
Monroe/El Dorado,Monroe-El Dorado,
Monroe-El Dorado,Monroe-El Dorado,
MONROE-EL DORADO,Monroe-El Dorado,
Monterey/Salinas,Monterey-Salinas,
Monterey-Salinas,Monterey-Salinas,
MONTEREY-SALINAS,Monterey-Salinas,
Monterey-Salinas CA,Monterey-Salinas,
Montgomery (Selma) AL,Montgomery-Selma,
Montgomery/Selma,Montgomery-Selma,
Montgomery-Selma,Montgomery-Selma,
MONTGOMERY-SELMA,Montgomery-Selma,
Myrtle Beach-Florence,Myrtle Beach-Florence,
MYRTLE BEACH-FLORENCE,Myrtle Beach-Florence,
Nashville,Nashville,
NASHVILLE,Nashville,
Nashville TN,Nashville,
New Orleans,New Orleans,
NEW ORLEANS,New Orleans,
New Orleans LA,New Orleans,
New York,New York,
NEW YORK,New York,
New York NY,New York,
No Metro,,
Norfolk/Portsmouth/Newport News,Norfolk-Portsmth-Newpt Nws,
Norfolk-Portsmouth-Newport NewsVA,Norfolk-Portsmth-Newpt Nws,
Norfolk-Portsmth-Newpt Nws,Norfolk-Portsmth-Newpt Nws,
NORFOLK-PORTSMTH-NEWPT NWS,Norfolk-Portsmth-Newpt Nws,
North Platte,North Platte,
NORTH PLATTE,North Platte,
North Platte NE,North Platte,
Odessa/Midland,Odessa-Midland,
Odessa-Midland,Odessa-Midland,
ODESSA-MIDLAND,Odessa-Midland,
Odessa-Midland TX,Odessa-Midland,
Oklahoma City,Oklahoma City,
OKLAHOMA CITY,Oklahoma City,
Oklahoma City OK,Oklahoma City,
OMAHA,Omaha NE,
Omaha NE,Omaha NE,
Omaha NE,Omaha NE,
Orlando/Daytona Beach/Melbourne,Orlando-Daytona Bch-Melbrn,
Orlando-Daytona Bch-Melbrn,Orlando-Daytona Bch-Melbrn,
ORLANDO-DAYTONA BCH-MELBRN,Orlando-Daytona Bch-Melbrn,
Orlando-Daytona Beach FL,Orlando-Daytona Bch-Melbrn,
Ottumwa IA-Kirksville MO,Ottumwa-Kirksville,
Ottumwa/Kirksville,Ottumwa-Kirksville,
Ottumwa-Kirksville,Ottumwa-Kirksville,
OTTUMWA-KIRKSVILLE,Ottumwa-Kirksville,
Paducah KY-Harrisburg IL,Paducah-Cape Girard-Harsbg,
Paducah/Cape Girardeau/Harrisburg/Mt Vernon,Paducah-Cape Girard-Harsbg,
Paducah-Cape Girard-Harsbg,Paducah-Cape Girard-Harsbg,
PADUCAH-CAPE GIRARD-HARSBG,Paducah-Cape Girard-Harsbg,
Palm Springs,Palm Springs,
PALM SPRINGS,Palm Springs,
Palm Springs CA,Palm Springs,
Panama City,Panama City,
PANAMA CITY,Panama City,
Panama City FL,Panama City,
Parkersburg,Parkersburg,
PARKERSBURG,Parkersburg,
Parkersburg WV,Parkersburg,
Peoria/Bloomington,Peoria-Bloomington,
Peoria-Bloomington,Peoria-Bloomington,
PEORIA-BLOOMINGTON,Peoria-Bloomington,
Peoria-Bloomington IL,Peoria-Bloomington,
Philadelphia,Philadelphia,
PHILADELPHIA,Philadelphia,
Philadelphia PA,Philadelphia,
Phoenix,Phoenix (Prescott),
Phoenix (Prescott),Phoenix (Prescott),
PHOENIX (PRESCOTT),Phoenix (Prescott),
Phoenix AZ,Phoenix (Prescott),
Pittsburgh,Pittsburgh,
PITTSBURGH,Pittsburgh,
Pittsburgh PA,Pittsburgh,
Portland OR,Portland OR,
PORTLAND OR,Portland OR,
Portland OR,Portland OR,
Portland/Auburn,Portland-Auburn,
Portland-Auburn,Portland-Auburn,
PORTLAND-AUBURN,Portland-Auburn,
Portland-Auburn ME,Portland-Auburn,
Portland-Or,Portland OR,
Presque Isle,Presque Isle,
PRESQUE ISLE,Presque Isle,
Presque Isle ME,Presque Isle,
Providence RI-New Bedford MA,Providence-New Bedford,
Providence/New Bedford,Providence-New Bedford,
Providence-New Bedford,Providence-New Bedford,
PROVIDENCE-NEW BEDFORD,Providence-New Bedford,
Quincy IL-Hannibal MO-Keokuk IA,Quincy-Hannibal-Keokuk,
Quincy/Hannibal/Keokuk,Quincy-Hannibal-Keokuk,
Quincy-Hannibal-Keokuk,Quincy-Hannibal-Keokuk,
QUINCY-HANNIBAL-KEOKUK,Quincy-Hannibal-Keokuk,
Raleigh/Durham,Raleigh-Durham (Fayetvlle),
Raleigh-Durham (Fayetteville) NC,Raleigh-Durham (Fayetvlle),
Raleigh-Durham (Fayetvlle),Raleigh-Durham (Fayetvlle),
RALEIGH-DURHAM (FAYETVLLE),Raleigh-Durham (Fayetvlle),
Rapid City,Rapid City,
RAPID CITY,Rapid City,
Rapid City SD,Rapid City,
Reno,Reno,
RENO,Reno,
Reno NV,Reno,
Richmond VA,Richmond VA,
Richmond/Petersburg,Richmond VA,
RICHMOND-PETERSBURG,Richmond VA,
Richmond-Petersburg VA,Richmond VA,
Roanoke/Lynchburg,Roanoke-Lynchburg,
Roanoke-Lynchburg,Roanoke-Lynchburg,
ROANOKE-LYNCHBURG,Roanoke-Lynchburg,
Roanoke-Lynchburg VA,Roanoke-Lynchburg,
Rochester NY,Rochester NY,
ROCHESTER NY,Rochester NY,
Rochester NY,Rochester NY,
Rochester/Mason City/Austin,Rochestr-Mason City-Austin,
Rochester-Austin MN-Mason City IA,Rochestr-Mason City-Austin,
Rochester-Ny,Rochester NY,
Rochestr-Mason City-Austin,Rochestr-Mason City-Austin,
ROCHESTR-MASON CITY-AUSTIN,Rochestr-Mason City-Austin,
Rockford,Rockford,
ROCKFORD,Rockford,
Rockford IL,Rockford,
Sacramento/Stockton/Modesto,Sacramnto-Stkton-Modesto,
Sacramento-Stockton-Modesto CA,Sacramnto-Stkton-Modesto,
Sacramnto-Stkton-Modesto,Sacramnto-Stkton-Modesto,
SACRAMNTO-STKTON-MODESTO,Sacramnto-Stkton-Modesto,
Saint Joseph,St. Joseph,
Saint Louis,St. Louis,
Salisbury,Salisbury,
SALISBURY,Salisbury,
Salisbury MD,Salisbury,
SALT LAKE CITY,Salt Lake City UT,
Salt Lake City UT,Salt Lake City UT,
Salt Lake City UT,Salt Lake City UT,
San Angelo,San Angelo,
SAN ANGELO,San Angelo,
San Angelo TX,San Angelo,
San Antonio,San Antonio,
SAN ANTONIO,San Antonio,
San Antonio TX,San Antonio,
San Diego,San Diego,
SAN DIEGO,San Diego,
San Diego CA,San Diego,
San Francisco CA,San Francisco CA,
San Francisco/Oakland/San Jose,San Francisco CA,
San Francisco-Oakland-San Jose CA,San Francisco CA,
SAN FRANCISCO-OAK-SAN JOSE,San Francisco CA,
Santa Barbara/Santa Maria/San Luis Obispo,SantaBarbra-SanMar-SanLuOb,
Santa Barbara-San Luis Obispo CA,SantaBarbra-SanMar-SanLuOb,
SantaBarbra-SanMar-SanLuOb,SantaBarbra-SanMar-SanLuOb,
SANTABARBRA-SANMAR-SANLUOB,SantaBarbra-SanMar-SanLuOb,
Savannah,Savannah,
SAVANNAH,Savannah,
Savannah GA,Savannah,
Seattle/Tacoma,Seattle-Tacoma,
Seattle-Tacoma,Seattle-Tacoma,
SEATTLE-TACOMA,Seattle-Tacoma,
Seattle-Tacoma WA,Seattle-Tacoma,
Sherman TX-Ada OK,Sherman-Ada,
Sherman-Ada,Sherman-Ada,
SHERMAN-ADA,Sherman-Ada,
Sherman-Tx/Ada-Ok,Sherman-Ada,
SHREVEPORT,Shreveport LA,
Shreveport LA,Shreveport LA,
Shreveport LA,Shreveport LA,
Sioux City,Sioux City,
SIOUX CITY,Sioux City,
Sioux City IA,Sioux City,
Sioux Falls(Mitchell),Sioux Falls(Mitchell),
SIOUX FALLS(MITCHELL),Sioux Falls(Mitchell),
Sioux Falls(Mitchell) SD,Sioux Falls(Mitchell),
Sioux Falls/Mitchell,Sioux Falls(Mitchell),
South Bend/Elkhart,South Bend-Elkhart,
South Bend-Elkhart,South Bend-Elkhart,
SOUTH BEND-ELKHART,South Bend-Elkhart,
South Bend-Elkhart IN,South Bend-Elkhart,
SPOKANE,Spokane WA,
Spokane WA,Spokane WA,
Spokane WA,Spokane WA,
Springfield MO,Springfield MO,
SPRINGFIELD MO,Springfield MO,
Springfield MO,Springfield MO,
Springfield/Holyoke,Springfield-Holyoke,
Springfield-Holyoke,Springfield-Holyoke,
SPRINGFIELD-HOLYOKE,Springfield-Holyoke,
Springfield-Holyoke MA,Springfield-Holyoke,
Springfield-Mo,Springfield MO,
St. Joseph,St. Joseph,
ST. JOSEPH,St. Joseph,
St. Joseph MO,St. Joseph,
St. Louis,St. Louis,
ST. LOUIS,St. Louis,
St. Louis MO,St. Louis,
Syracuse,Syracuse,
SYRACUSE,Syracuse,
Syracuse NY,Syracuse,
Tallahassee FL-Thomasville GA,Tallahassee-Thomasville,
Tallahassee/Thomasville,Tallahassee-Thomasville,
Tallahassee-Thomasville,Tallahassee-Thomasville,
TALLAHASSEE-THOMASVILLE,Tallahassee-Thomasville,
Tampa/Saint Petersburg,Tampa-St. Pete (Sarasota),
Tampa-St Petersburg (Sarasota) FL,Tampa-St. Pete (Sarasota),
Tampa-St. Pete (Sarasota),Tampa-St. Pete (Sarasota),
TAMPA-ST. PETE (SARASOTA),Tampa-St. Pete (Sarasota),
Terre Haute,Terre Haute,
TERRE HAUTE,Terre Haute,
Terre Haute IN,Terre Haute,
Toledo,Toledo,
TOLEDO,Toledo,
Toledo OH,Toledo,
Topeka,Topeka,
TOPEKA,Topeka,
Topeka KS,Topeka,
Traverse City/Cadillac,Traverse City-Cadillac,
Traverse City-Cadillac,Traverse City-Cadillac,
TRAVERSE CITY-CADILLAC,Traverse City-Cadillac,
Traverse City-Cadillac MI,Traverse City-Cadillac,
Tri-Cities TN-VA,Tri-Cities TN-VA,
TRI-CITIES TN-VA,Tri-Cities TN-VA,
Tri-Cities TN-VA,Tri-Cities TN-VA,
Tri-Cities-Tn-Va,Tri-Cities TN-VA,
Tucson (Sierra Vista),Tucson (Sierra Vista),
TUCSON (SIERRA VISTA),Tucson (Sierra Vista),
Tucson (Sierra Vista) AZ,Tucson (Sierra Vista),
Tucson/Sierra Vista,Tucson (Sierra Vista),
TULSA,Tulsa OK,
Tulsa OK,Tulsa OK,
Tulsa OK,Tulsa OK,
Twin Falls,Twin Falls,
TWIN FALLS,Twin Falls,
Twin Falls ID,Twin Falls,
Tyler/Longview/Lufkin/Nacogdoches,Tyler-Longview(Lfkn&Ncgd),
Tyler-Longview(Lfkn&Ncgd),Tyler-Longview(Lfkn&Ncgd),
TYLER-LONGVIEW(LFKN&NCGD),Tyler-Longview(Lfkn&Ncgd),
Tyler-Longview(Nacogdoches) TX,Tyler-Longview(Lfkn&Ncgd),
Unknown,,
Utica,Utica,
UTICA,Utica,
Utica NY,Utica,
Victoria,Victoria,
VICTORIA,Victoria,
Victoria TX,Victoria,
Waco/Temple/Bryan,Waco-Temple-Bryan,
Waco-Temple-Bryan,Waco-Temple-Bryan,
WACO-TEMPLE-BRYAN,Waco-Temple-Bryan,
Waco-Temple-Bryan TX,Waco-Temple-Bryan,
Washington Dc,Washington DC (Hagrstwn),
Washington DC (Hagerstown MD),Washington DC (Hagrstwn),
Washington DC (Hagrstwn),Washington DC (Hagrstwn),
WASHINGTON DC (HAGRSTWN),Washington DC (Hagrstwn),
Watertown,Watertown,
WATERTOWN,Watertown,
Watertown NY,Watertown,
Wausau/Rhinelander,Wausau-Rhinelander,
Wausau-Rhinelander,Wausau-Rhinelander,
WAUSAU-RHINELANDER,Wausau-Rhinelander,
Wausau-Rhinelander WI,Wausau-Rhinelander,
West Palm Beach FL,West Palm Beach FL,
West Palm Beach/Fort Pierce,West Palm Beach FL,
WEST PALM BEACH-FT. PIERCE,West Palm Beach FL,
West Palm Beach-Ft. Pierce FL,West Palm Beach FL,
Wheeling WV-Steubenville OH,Wheeling-Steubenville,
Wheeling/Steubenville,Wheeling-Steubenville,
Wheeling-Steubenville,Wheeling-Steubenville,
WHEELING-STEUBENVILLE,Wheeling-Steubenville,
Wichita Falls & Lawton,Wichita Falls & Lawton,
WICHITA FALLS & LAWTON,Wichita Falls & Lawton,
Wichita Falls TX And Lawton OK,Wichita Falls & Lawton,
Wichita Falls/Lawton,Wichita Falls & Lawton,
Wichita KS,Wichita KS,
Wichita/Hutchinson,Wichita KS,
Wichita-Hutchinson KS,Wichita KS,
WICHITA-HUTCHINSON PLUS,Wichita KS,
Wilkes Barre PA,Wilkes Barre PA,
Wilkes Barre/Scranton,Wilkes Barre PA,
WILKES BARRE-SCRANTON,Wilkes Barre PA,
Wilkes Barre-Scranton PA,Wilkes Barre PA,
Wilmington,Wilmington,
WILMINGTON,Wilmington,
Wilmington NC,Wilmington,
Yakima/Pasco/Richland/Kennewick,Yakima-Pasco-Rchlnd-Knnwck,
Yakima-Pasco-Rchlnd-Knnwck,Yakima-Pasco-Rchlnd-Knnwck,
YAKIMA-PASCO-RCHLND-KNNWCK,Yakima-Pasco-Rchlnd-Knnwck,
Yakima-Pasco-Richland-Kennewick WA,Yakima-Pasco-Rchlnd-Knnwck,
Youngstown,Youngstown,
YOUNGSTOWN,Youngstown,
Youngstown OH,Youngstown,
Yuma AZ-El Centro CA,Yuma-El Centro,
Yuma/El Centro,Yuma-El Centro,
Yuma-El Centro,Yuma-El Centro,
YUMA-EL CENTRO,Yuma-El Centro,
Zanesville,Zanesville,
ZANESVILLE,Zanesville,
Zanesville OH,Zanesville,
